dNdS_group,FBID,Gene_Name,omega,ProteinLength,Mean_expression,Male_expression,Female_expression
Gene_group_01,FBgn0015286,Rala,0.0001,201,25.412602,17.7981936666667,33.0270103333333
Gene_group_01,FBgn0011760,ctp,0.0001,89,75.42365533333336,61.8500696666667,88.997241
Gene_group_01,FBgn0010014,CanB,0.0001,170,2.6466956666666652,4.01910433333333,1.274287
Gene_group_01,FBgn0004687,Mlc-c,0.0001,153,47.46686383333335,39.292407,55.6413206666667
Gene_group_01,FBgn0003514,sqh,0.0001,174,42.56043,39.440815,45.680045
Gene_group_01,FBgn0017457,U2af38,0.0001,264,13.376770333333349,6.023988,20.7295526666667
Gene_group_01,FBgn0037121,Rpb8,0.0001,149,13.663595333333335,7.76958166666667,19.557609
Gene_group_01,FBgn0010348,Arf79F,0.0001,182,95.623127,79.099739,112.146515
Gene_group_01,FBgn0037351,RpL13A,0.0001,205,440.93477366666696,307.046274666667,574.823272666667
Gene_group_01,FBgn0044823,Spec2,0.0001,85,5.668233,3.19179966666667,8.14466633333333
Gene_group_01,FBgn0004436,Ubc6,0.0001,151,30.18251166666665,24.119606,36.2454173333333
Gene_group_01,FBgn0028694,Rpn11,0.0001,308,38.92057266666665,26.0192293333333,51.821916
Gene_group_01,FBgn0031822,Phf5a,0.0001,111,20.23920466666665,8.227423,32.2509863333333
Gene_group_01,FBgn0004177,mts,0.0001,309,65.66355033333335,44.6579616666667,86.669139
Gene_group_01,FBgn0032048,Dh31,0.0001,117,3.535174833333335,5.174492,1.89585766666667
Gene_group_01,FBgn0013746,alien,0.0001,444,14.7361665,10.1873923333333,19.2849406666667
Gene_group_01,FBgn0010314,Cks30A,0.0001,74,12.677139666666665,1.41356233333333,23.940717
Gene_group_01,FBgn0015393,hoip,0.0001,127,75.83932766666666,7.59027133333333,144.088384
Gene_group_01,FBgn0000273,Pka-C1,0.0001,353,20.0987901666667,23.0935256666667,17.1040546666667
Gene_group_01,FBgn0025366,Ip259,0.0001,259,93.65828366666685,54.1784196666667,133.138147666667
Gene_group_01,FBgn0032248,Bug22,0.0001,199,20.4343645,28.6065626666667,12.2621663333333
Gene_group_01,FBgn0032297,CG17124,0.0001,124,23.727904833333298,28.9239563333333,18.5318533333333
Gene_group_01,FBgn0032299,CG17127,0.0001,98,1.7679389999999986,2.93716933333333,0.598708666666667
Gene_group_01,FBgn0032400,CG6770,0.0001,69,450.26534016666653,486.176493333333,414.354187
Gene_group_01,FBgn0015797,Rab6,0.0001,208,12.756501,10.004957,15.508045
Gene_group_01,FBgn0032429,CG5446,0.0001,86,19.0536195,16.9636353333333,21.1436036666667
Gene_group_01,FBgn0051820,CG31820,0.0001,62,188.32403983333333,375.93043,0.717649666666667
Gene_group_01,FBgn0024734,PRL-1,0.0001,176,41.41690966666665,40.329164,42.5046553333333
Gene_group_01,FBgn0051740,CG31740,0.0001,61,195.1227803333335,389.787465666667,0.458095
Gene_group_01,FBgn0032746,CG10470,0.0001,183,28.279450666666648,21.398169,35.1607323333333
Gene_group_01,FBgn0002031,l(2)37Cc,0.0001,276,35.556885333333355,23.3314436666667,47.782327
Gene_group_01,FBgn0004172,Mst84Da,0.0001,63,69.22802216666666,138.130193,0.325851333333333
Gene_group_01,FBgn0003884,alphaTub84B,0.0001,450,255.841118,222.667445,289.014791
Gene_group_01,FBgn0037551,Arl8,0.0001,186,17.19980566666665,16.908047,17.4915643333333
Gene_group_01,FBgn0037648,CG11975,0.0001,340,8.788774666666649,7.182828,10.3947213333333
Gene_group_01,FBgn0040534,Sf3b5,0.0001,85,38.02763033333335,21.504731,54.5505296666667
Gene_group_01,FBgn0026380,Prosbeta3,0.0001,205,58.54657666666665,50.4247053333333,66.668448
Gene_group_01,FBgn0003889,betaTub85D,0.0001,446,62.10720883333334,124.040947,0.173470666666667
Gene_group_01,FBgn0024833,AP-1mu,0.0001,426,13.580446833333351,11.271824,15.8890696666667
Gene_group_01,FBgn0003205,Ras85D,0.0001,189,19.200719833333352,11.992507,26.4089326666667
Gene_group_01,FBgn0037962,Dnali1,0.0001,250,6.9874255000000165,13.9257146666667,0.0491363333333333
Gene_group_01,FBgn0038065,Snx3,0.0001,167,17.72519166666665,16.399075,19.0513083333333
Gene_group_01,FBgn0038100,Paip2,0.0001,124,42.040011,45.306942,38.77308
Gene_group_01,FBgn0004855,RpII15,0.0001,129,11.713343333333317,7.15395833333333,16.2727283333333
Gene_group_01,FBgn0013981,His4r,0.0001,103,271.4033508333335,247.931457666667,294.875244
Gene_group_01,FBgn0038331,Ccm3,0.0001,208,15.0436473333333,16.1495873333333,13.9377073333333
Gene_group_01,FBgn0000047,Act88F,0.0001,376,13.735032000000015,18.5654356666667,8.90462833333333
Gene_group_01,FBgn0020238,14-3-3epsilon,0.0001,262,85.89758066666664,65.2123033333333,106.582858
